country,bev_value,phev_value,total_value
Australia,33709,13730,47439
Belgium,60425,121486,181911
Brazil,3773,9046,12819
Canada,174540,104400,278940
Chile,824,648,1472
China,6239500,1605650,7845150
Denmark,55028,67742,122770
Finland,18151,48700,66851
France,447290,279026,726316
Germany,714340,666440,1380780
Greece,3349,7038,10387
Iceland,10509,15111,25620
India,22250,91,22341
Italy,122200,114860,237060
Japan,187400,179415,366815
Korea,215541,36050,251591
Mexico,6393,5157,11550
Netherlands,243570,153417,396987
New Zealand,24985,9103,34088
Norway,408160,173360,581520
Other Europe,160570,84439,245009
Poland,18817,18142,36959
Portugal,37072,41686,78758
South Africa,874,886,1760
Spain,69306,86300,155606
Sweden,121584,227760,349344
Switzerland,85280,54311,139591
United Kingdom,401660,349018,750678
USA,1575000,790000,2365000
