manufacturer,vehicle_type,no_of_sold_evs
ZYTD,Moped,6
ZONG,Motorcycle,5
ZONG,Moped,2
ZONE,Low-Speed Car,2
ZLSV,Moped,1
ZHEJ,Motorcycle,1
ZERO,Motorcycle,117
ZENN,Low-Speed Car,1
ZAPP,Motorcycle,5
YMSK,Moped,5
YMSK,Motorcycle,8
Volvo,SUV,964
Volvo,Car,43
Volkswagen,Car,1076
VESP,Moped,3
VESP,Motorcycle,4
UBCO,Moped,7
Toyota,Car,2899
Toyota,SUV,2007
TOMB,Low-Speed Car,21
Tesla,Car,14614
Tesla,SUV,1285
TESL,Car,1
TAOI,Moped,1
SYMG,Motorcycle,1
Subaru,Car,622
SPCW,Moped,1
Smart,Car,104
SLEL,Motorcycle,1
SHGY,Moped,1
Rivian,Truck,40
Porsche,Car,176
Porsche,SUV,75
POLS,Low-Speed Car,12
Polestar,Car,174
POLAR,Low-Speed Car,4
Nissan,Car,3909
MOTV,Moped,1
Mitsubishi,SUV,184
Mitsubishi,Car,27
MINI,Car,227
MILES,Low-Speed Car,1
Mercedes-Benz,Car,51
Mercedes-Benz,SUV,126
MAHIN,Moped,1
MAHI,Moped,5
Lucid,Car,9
LIVW,Motorcycle,1
Lincoln,SUV,44
Lexus,Car,54
Land Rover,SUV,19
KTM,Motorcycle,2
KLDT,Motorcycle,1
Kia,SUV,138
Kia,Car,1759
Karma,Car,4
JIJM,Motorcycle,4
JHGS,Low-Speed Car,1
Jeep,SUV,567
JBLC,Motorcycle,2
JBLC,Moped,1
Jaguar,SUV,69
INGR,Low-Speed Car,3
Hyundai,SUV,1032
Hyundai,Car,864
Honda,Car,590
HOND,Moped,1
HOND,Motorcycle,1
HDKP,Low-Speed Car,3
HDGC,Low-Speed Car,2
HD,Motorcycle,8
HCKC,Moped,1
GMC,Truck,2
GLBL,Car,1
GENZE,Moped,1
GENZ,Moped,3
GENU,Moped,11
GENU,Motorcycle,13
GEM,Low-Speed Car,5
GARI,Low-Speed Car,2
FPEC,Low-Speed Car,1
Ford,Van,35
Ford,Truck,17
Ford,Car,1339
Ford,SUV,1102
FIAT,Car,147
Ferrari,Car,3
EZGO,Low-Speed Car,4
EVTS,Van,1
EVT,Moped,1
ENRG,Motorcycle,6
ELVT,Moped,1
ELCY,Motorcycle,2
CYCL,Motorcycle,4
CYCL,Moped,1
CVGI,Low-Speed Car,1
CLUB,Low-Speed Car,3
CITI,Car,1
Chrysler,Van,973
CHNA,Moped,1
Chevrolet,Car,4238
CEVL,Medium-Speed Car,1
Cadillac,Car,10
BRMO,Motorcycle,1
BRAM,Motorcycle,2
BMW,Car,851
BMW,SUV,730
Bentley,SUV,1
BAOD,Moped,1
Audi,Car,184
Audi,SUV,733
ASVE,Motorcycle,1
ASVE,Car,1
ASMBL,Motorcycle,2
ARCM,Motorcycle,1
ARCI,Motorcycle,1
AMIC,Motorcycle,159
ALTM,Motorcycle,5
AECI,Moped,7
ACGC,Low-Speed Car,3
