manufacturer,no_of_sold_evs
Tesla,15899
Toyota,4906
Chevrolet,4238
Nissan,3909
Ford,2493
Kia,1897
Hyundai,1896
BMW,1581
Volkswagen,1076
Volvo,1007
Chrysler,973
Audi,917
Subaru,622
Honda,590
Jeep,567
Porsche,251
MINI,227
Mitsubishi,211
Mercedes-Benz,177
Polestar,174
AMIC,159
FIAT,147
ZERO,117
Smart,104
Jaguar,69
Lexus,54
Lincoln,44
Rivian,40
GENU,24
TOMB,21
Land Rover,19
YMSK,13
POLS,12
Cadillac,10
Lucid,9
HD,8
UBCO,7
ZONG,7
AECI,7
VESP,7
ENRG,6
ZYTD,6
GEM,5
MAHI,5
CYCL,5
ZAPP,5
ALTM,5
EZGO,4
Karma,4
JIJM,4
POLAR,4
JBLC,3
CLUB,3
Ferrari,3
ACGC,3
GENZ,3
HDKP,3
INGR,3
ASVE,2
KTM,2
GARI,2
ELCY,2
HDGC,2
ZONE,2
HOND,2
BRAM,2
ASMBL,2
GMC,2
SHGY,1
ZHEJ,1
LIVW,1
CITI,1
CEVL,1
BRMO,1
JHGS,1
MOTV,1
SYMG,1
BAOD,1
CVGI,1
EVTS,1
ARCM,1
KLDT,1
EVT,1
FPEC,1
MAHIN,1
SPCW,1
ZLSV,1
HCKC,1
ARCI,1
GLBL,1
GENZE,1
ELVT,1
Bentley,1
TESL,1
ZENN,1
CHNA,1
MILES,1
SLEL,1
TAOI,1
