Vehicle,Type,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Chevy Volt,PHEV,7671,23461,23094,18805,15393,24739,20349,18306,4915,149062
Nissan Leaf,EV,9674,9819,22610,30200,17269,14006,11230,14715,12365,132214
Smart ED,EV,342,139,923,2594,1387,657,544,1219,680,8143
Mitsubishi I EV,EV,76,588,1029,196,115,94,6,0,0,2028
BMW Active E,EV,0,673,0,0,0,0,0,0,0,673
Prius PHEV,PHEV,0,12749,12088,13264,4191,2474,20936,27595,23630,116927
Ford Focus EV,EV,0,683,1738,1964,1582,901,1817,560,0,9245
Honda Fit EV,EV,0,93,569,407,2,0,0,0,0,1071
Tesla Model S,EV,0,2400,19400,16750,26200,30200,26500,25745,15090,162285
Toyota RAV4 EV,EV,0,192,1005,1184,18,0,0,0,0,2399
Ford C-Max Energi,PHEV,0,2374,7154,8433,7591,7957,8140,582,0,42231
Honda Accord,PHEV,0,0,526,449,64,0,0,0,0,1039
Ford Fusion Energi,PHEV,0,0,6089,11550,9750,15938,9632,8074,7476,68509
Chevy Spark,EV,0,0,560,1145,2629,3035,23,7,0,7399
Fiat 500E,EV,0,0,260,1503,3477,3737,3336,2250,632,15195
Porsche Panamera S E-Hybrid,PHEV,0,0,51,879,407,393,18,2036,1958,5742
Cadillac ELR,PHEV,0,0,6,1310,1024,534,17,1,0,2892
BMW i3,EV,0,0,0,6092,11024,7625,6276,6117,4854,41988
Mercedes B-Class (B250e),EV,0,0,0,774,1906,632,744,135,9,4200
BMW i8,PHEV,0,0,0,555,2265,1594,488,772,1102,6776
VW e-Golf,EV,0,0,0,357,4232,3937,3534,1354,4863,18277
Kia Soul EV,EV,0,0,0,359,1015,1728,2157,1134,114,6507
Porsche Cayenne S E-Hybrid,PHEV,0,0,0,112,1163,2111,1574,1022,1140,7122
Mercedes S550 Plug,PHEV,0,0,0,0,118,550,666,96,371,1801
Volvo-XC90 Plug In,PHEV,0,0,0,0,86,2015,2358,1387,1710,7556
Tesla Model X,EV,0,0,0,0,208,19600,21700,26100,19425,87033
BMW X5,PHEV,0,0,0,0,892,5995,5349,4434,167,16837
Hyundai Sonata Plug In,PHEV,0,0,0,0,15,3000,2254,460,456,6185
Audi A3 Plug In,PHEV,0,0,0,0,0,4280,2877,2597,437,10191
BMW 3-series Plug-In,PHEV,0,0,0,0,0,880,4141,2600,705,8326
Mercedes GLE 550e,PHEV,0,0,0,0,0,231,463,966,1509,3169
BMW 7-series Plug-in,PHEV,0,0,0,0,0,23,707,339,80,1149
Mercedes C350We,PHEV,0,0,0,0,0,171,817,1721,2172,4881
Chevy Bolt,EV,0,0,0,0,0,579,23297,18019,16313,58208
Kia Optima Plug-in,PHEV,0,0,0,0,0,0,1512,965,350,2827
Hyundai Ioniq EV,EV,0,0,0,0,0,0,432,345,739,1516
Chrysler Pacifica Plug-in Hybrid,PHEV,0,0,0,0,0,0,2981,7062,5811,15854
Cadillac CT6,PHEV,0,0,0,0,0,0,205,231,25,461
BMW 5-Series Plug in,PHEV,0,0,0,0,0,0,3759,8664,5442,17865
MINI Countryman S E,PHEV,0,0,0,0,0,0,475,1564,494,2533
Porsche Panamera 4 E-H,PHEV,0,0,0,0,0,0,0,0,0,0
Tesla Model 3,EV,0,0,0,0,0,0,1770,139782,154840,296392
Honda Clarity BEV,EV,0,0,0,0,0,0,1126,948,742,2816
Volvo XC60 Plug In,PHEV,0,0,0,0,0,0,356,2267,1682,4305
Volvo S90 Plug In,PHEV,0,0,0,0,0,0,112,437,407,956
Honda Clarity Plug-in,PHEV,0,0,0,0,0,0,903,18602,10728,30233
Mitsubishi Outlander Plug In,PHEV,0,0,0,0,0,0,0,4166,2810,6976
Hyundai Ioniq Plug-In,PHEV,0,0,0,0,0,0,0,1590,1765,3355
Kia Niro Plug In,PHEV,0,0,0,0,0,0,0,3389,4051,7440
Mercedes GLC 350e Hybrid,PHEV,0,0,0,0,0,0,0,567,2459,3026
Jaguar I-Pace,EV,0,0,0,0,0,0,0,393,2594,2987
Hyundai Kona Electric,EV,0,0,0,0,0,0,0,0,1721,1721
Subaru Crosstrek Hybrid,PHEV,0,0,0,0,0,0,0,0,880,880
Audi e-tron,EV,0,0,0,0,0,0,0,0,5369,5369
Kia Niro EV,EV,0,0,0,0,0,0,0,0,1562,1562
