Survey_Start_Date,Gasoline,E85,Cng,Lng,Propane,Diesel,B20,B2/B5,B99/B100,Electricity
2000-12-31,1.53,1.85,0.96,,1.69,1.38,,,,
2001-12-31,1.48,1.72,1.25,,1.67,1.28,1.35,,,
2002-12-31,1.34,1.72,1.13,,1.7,1.19,1.33,,,
2003-12-31,1.54,1.78,1.27,,2.15,1.42,1.58,,,
2004-12-31,1.9,2.14,1.45,,2.51,1.65,1.85,,,
2005-12-31,2.44,2.75,1.84,,3.08,2.28,2.39,2.54,3.3,
2006-12-31,2.43,2.9,1.89,,2.91,2.46,2.51,2.47,3.33,
2007-12-31,2.7,3.16,1.94,,3.62,2.62,2.62,2.55,3.22,
2008-12-31,3.34,4.06,2.08,,4.42,3.56,3.66,3.56,4.32,
2009-12-31,2.24,2.86,1.72,,3.62,2.25,2.45,2.18,3.2,
2010-12-31,2.74,3.37,1.9,,4.01,2.67,2.8,,3.63,
2011-12-31,3.48,4.38,2.04,,4.28,3.42,3.53,,4.12,1.43
2012-12-31,3.65,4.71,2.09,,3.86,3.55,3.69,,4.23,1.42
2013-12-31,3.5,4.5,2.11,,3.83,3.54,3.67,,4.21,1.43
2014-12-31,3.51,4.44,2.14,,4.34,3.48,3.6,,4.18,1.44
2015-12-31,2.47,2.95,2.1,,4.0,2.55,2.64,,3.62,1.46
2016-12-31,2.13,2.48,2.05,2.42,3.79,2.07,2.17,,3.0,1.42
2017-12-31,2.36,2.68,2.14,2.54,3.86,2.31,2.3,,3.12,1.43
2018-12-31,2.74,2.92,2.19,2.62,3.88,2.8,2.67,,3.46,1.4
2019-12-31,2.62,2.9,2.2,2.49,3.9,2.71,2.57,,3.54,1.4
2020-12-31,2.22,2.59,2.17,2.43,3.76,2.34,2.22,,3.36,1.4
2021-12-31,2.87,3.18,2.23,2.46,4.08,2.78,2.6,,3.47,1.39
2022-12-31,4.04,4.52,2.61,2.89,4.9,4.25,4.01,,4.77,1.41
